OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
234,840928027,18003,18003,1/1/1980 0:00:00,Alta,840928027,84092,P,PO BOX
235,840928028,18003,18003,1/1/1980 0:00:00,Alta,840928028,84092,P,PO BOX
236,840928029,18003,18003,1/1/1980 0:00:00,Alta,840928029,84092,P,PO BOX
237,840928030,18003,18003,1/1/1980 0:00:00,Alta,840928030,84092,P,PO BOX
238,840928031,18003,18003,1/1/1980 0:00:00,Alta,840928031,84092,P,PO BOX
239,840928032,18003,18003,1/1/1980 0:00:00,Alta,840928032,84092,P,PO BOX
240,840928033,18003,18003,1/1/1980 0:00:00,Alta,840928033,84092,P,PO BOX
241,840928034,18003,18003,1/1/1980 0:00:00,Alta,840928034,84092,P,PO BOX
242,840928035,18003,18003,1/1/1980 0:00:00,Alta,840928035,84092,P,PO BOX
243,840928036,18003,18003,1/1/1980 0:00:00,Alta,840928036,84092,P,PO BOX
244,840928037,18003,18003,1/1/1980 0:00:00,Alta,840928037,84092,P,PO BOX
245,840928038,18003,18003,1/1/1980 0:00:00,Alta,840928038,84092,P,PO BOX
246,840928039,18003,18003,1/1/1980 0:00:00,Alta,840928039,84092,P,PO BOX
247,840928040,18003,18003,1/1/1980 0:00:00,Alta,840928040,84092,P,PO BOX
248,840928041,18003,18003,1/1/1980 0:00:00,Alta,840928041,84092,P,PO BOX
249,840928042,18003,18003,1/1/1980 0:00:00,Alta,840928042,84092,P,PO BOX
250,840928043,18003,18003,1/1/1980 0:00:00,Alta,840928043,84092,P,PO BOX
251,840928044,18003,18003,1/1/1980 0:00:00,Alta,840928044,84092,P,PO BOX
252,840928045,18003,18003,1/1/1980 0:00:00,Alta,840928045,84092,P,PO BOX
253,840928046,18003,18003,1/1/1980 0:00:00,Alta,840928046,84092,P,PO BOX
254,840928047,18003,18003,1/1/1980 0:00:00,Alta,840928047,84092,P,PO BOX
255,840928048,18003,18003,1/1/1980 0:00:00,Alta,840928048,84092,P,PO BOX
256,840928049,18003,18003,1/1/2006 0:28:31,Alta,840928049,84092,P,PO BOX
257,840928050,18003,18003,1/1/2006 0:28:31,Alta,840928050,84092,P,PO BOX
258,840928051,18003,18003,1/1/2006 0:28:31,Alta,840928051,84092,P,PO BOX
259,840928052,18003,18003,1/1/2006 0:28:31,Alta,840928052,84092,P,PO BOX
260,840928053,18003,18003,1/1/2006 0:28:31,Alta,840928053,84092,P,PO BOX
261,840928054,18003,18003,1/1/2006 0:28:31,Alta,840928054,84092,P,PO BOX
262,840928055,18003,18003,1/1/2006 0:28:31,Alta,840928055,84092,P,PO BOX
263,840928056,18003,18003,1/1/2006 0:28:31,Alta,840928056,84092,P,PO BOX
264,840928057,18003,18003,1/1/2006 0:28:31,Alta,840928057,84092,P,PO BOX
265,840928058,18003,18003,1/1/2006 0:28:31,Alta,840928058,84092,P,PO BOX
266,840928059,18003,18003,1/1/2006 0:28:31,Alta,840928059,84092,P,PO BOX
267,840928060,18003,18003,1/1/2006 0:28:31,Alta,840928060,84092,P,PO BOX
268,840928061,18003,18003,1/1/2006 0:28:31,Alta,840928061,84092,P,PO BOX
269,840928062,18003,18003,1/1/2006 0:28:31,Alta,840928062,84092,P,PO BOX
270,840928063,18003,18003,1/1/2006 0:28:31,Alta,840928063,84092,P,PO BOX
271,840928064,18003,18003,1/1/2006 0:28:31,Alta,840928064,84092,P,PO BOX
272,840928065,18003,18003,1/1/2006 0:28:31,Alta,840928065,84092,P,PO BOX
273,840928066,18003,18003,1/1/2006 0:28:31,Alta,840928066,84092,P,PO BOX
274,840928067,18003,18003,1/1/2006 0:28:31,Alta,840928067,84092,P,PO BOX
275,840928068,18003,18003,1/1/2006 0:28:31,Alta,840928068,84092,P,PO BOX
276,840928069,18003,18003,1/1/2006 0:28:31,Alta,840928069,84092,P,PO BOX
277,840928070,18003,18003,1/1/2006 0:28:31,Alta,840928070,84092,P,PO BOX
278,840928071,18003,18003,1/1/2006 0:28:31,Alta,840928071,84092,P,PO BOX
279,840928072,18003,18003,1/1/2006 0:28:31,Alta,840928072,84092,P,PO BOX
280,840928073,18003,18003,1/1/2006 0:28:31,Alta,840928073,84092,P,PO BOX
281,840928074,18003,18003,1/1/2006 0:28:31,Alta,840928074,84092,P,PO BOX
282,840928075,18003,18003,1/1/2006 0:28:31,Alta,840928075,84092,P,PO BOX
283,840928076,18003,18003,1/1/2006 0:28:31,Alta,840928076,84092,P,PO BOX
284,840928077,18003,18003,1/1/2006 0:28:31,Alta,840928077,84092,P,PO BOX
285,840928078,18003,18003,1/1/2006 0:28:31,Alta,840928078,84092,P,PO BOX
286,840928079,18003,18003,1/1/2006 0:28:31,Alta,840928079,84092,P,PO BOX
287,840928080,18003,18003,1/1/2006 0:28:31,Alta,840928080,84092,P,PO BOX
288,840928081,18003,18003,1/1/2006 0:28:31,Alta,840928081,84092,P,PO BOX
289,840928082,18003,18003,1/1/2006 0:28:31,Alta,840928082,84092,P,PO BOX
290,840928083,18003,18003,1/1/2006 0:28:31,Alta,840928083,84092,P,PO BOX
291,840928084,18003,18003,1/1/2006 0:28:31,Alta,840928084,84092,P,PO BOX
292,840928085,18003,18003,1/1/2006 0:28:31,Alta,840928085,84092,P,PO BOX
293,840928086,18003,18003,1/1/2006 0:28:31,Alta,840928086,84092,P,PO BOX
294,840928087,18003,18003,1/1/2006 0:28:31,Alta,840928087,84092,P,PO BOX
295,840928088,18003,18003,1/1/2006 0:28:31,Alta,840928088,84092,P,PO BOX
296,840928089,18003,18003,1/1/2006 0:28:31,Alta,840928089,84092,P,PO BOX
297,840928090,18003,18003,1/1/2006 0:28:31,Alta,840928090,84092,P,PO BOX
298,840928091,18003,18003,1/1/2006 0:28:31,Alta,840928091,84092,P,PO BOX
299,840928092,18003,18003,1/1/2006 0:28:31,Alta,840928092,84092,P,PO BOX
300,840928093,18003,18003,1/1/2006 0:28:31,Alta,840928093,84092,P,PO BOX
301,840928094,18003,18003,1/1/2006 0:28:31,Alta,840928094,84092,P,PO BOX
302,840928095,18003,18003,1/1/2006 0:28:31,Alta,840928095,84092,P,PO BOX
303,840928096,18003,18003,1/1/2006 0:28:31,Alta,840928096,84092,P,PO BOX
304,840928097,18003,18003,1/1/2006 0:28:31,Alta,840928097,84092,P,PO BOX
305,840928098,18003,18003,1/1/2006 0:28:31,Alta,840928098,84092,P,PO BOX
306,840928099,18003,18003,1/1/2006 0:28:31,Alta,840928099,84092,P,PO BOX
307,840928100,18003,18003,1/1/2006 0:28:31,Alta,840928100,84092,P,PO BOX
